uid,cluster,sex_drive,csbd,ppcs,soi_r_me,social_anxiety,lon,mvs,attraction_to_children
407,3,3,14,11,4,8,14,17,0
436,3,5,11,18,5.666666666666667,7,13,20,0
488,7,5,13,21,2.8333333333333335,5,12,21,1
517,4,0,7,6,2.5,8,10,22,0
532,4,1,10,6,4.833333333333333,4,7,17,0
534,3,7,10,7,4.166666666666667,2,4,25,0
573,3,5,12,22,3.5,5,8,17,0
581,4,4,9,6,4,6,10,21,0
590,4,2,7,6,4.5,4,7,18,0
592,3,3,7,15,2.8333333333333335,9,8,24,0
601,2,8,7,6,3.8333333333333335,3,8,16,0
626,3,3,15,6,2.8333333333333335,7,13,17,0
639,4,4,9,6,4.5,2,6,21,0
640,4,5,9,6,4.166666666666667,2,7,22,0
676,3,5,9,13,4.333333333333333,9,17,17,0
684,3,12,12,15,4,12,16,21,0
689,3,2,13,9,2.8333333333333335,9,8,23,0
711,4,1,7,6,1.3333333333333333,2,7,20,0
729,4,3,7,6,2,5,6,22,0
737,4,1,9,6,1.8333333333333333,5,7,20,0
739,3,1,21,19,5.333333333333333,4,9,19,0
757,4,2,7,6,2.6666666666666665,2,9,26,0
759,4,1,13,6,3.5,2,7,21,0
761,3,3,19,6,3.5,8,8,27,0
766,3,8,13,21,5.333333333333333,3,9,18,0
770,3,3,12,12,2.8333333333333335,8,10,22,0
797,3,3,18,11,4.166666666666667,9,11,20,0
803,3,10,11,21,5.333333333333333,5,16,21,0
811,3,3,17,17,5.5,2,5,14,0
853,4,5,8,6,4.333333333333333,9,7,19,0
873,2,3,7,13,5.166666666666667,2,3,20,0
878,3,1,33,19,4.333333333333333,3,12,16,0
969,3,3,21,12,5,5,8,16,0
1044,4,1,7,6,4.166666666666667,4,7,24,0
1133,3,7,18,18,5.833333333333333,10,14,18,0
1141,3,9,13,15,2.6666666666666665,6,9,18,0
1142,4,0,12,7,3.1666666666666665,12,14,17,0
1159,4,5,7,6,2.5,9,12,12,0
1166,3,1,7,12,3.1666666666666665,7,6,24,0
1213,4,1,11,6,3.1666666666666665,10,19,18,0
1352,3,7,14,28,1.1666666666666667,10,10,16,0
1412,3,4,9,13,4.833333333333333,2,7,18,0
1413,4,1,8,6,3.5,7,12,17,0
1429,4,2,7,6,5.333333333333333,4,4,16,0
1435,3,10,7,15,3.3333333333333335,9,12,8,0
1440,4,1,11,6,2.1666666666666665,11,15,18,0
1468,4,2,7,6,2.1666666666666665,12,14,4,0
1589,3,8,7,6,5.666666666666667,14,7,16,0
1595,7,31,16,27,2.6666666666666665,14,21,5,0
1617,4,1,11,6,3.8333333333333335,6,9,16,0
1625,4,1,7,6,3.3333333333333335,6,6,22,0
1643,3,2,25,10,6,13,19,12,0
1686,4,4,7,6,4.5,4,4,24,0
1723,4,1,11,6,2.6666666666666665,6,15,14,0
1737,3,7,7,10,3.8333333333333335,2,11,24,0
1768,3,4,9,13,3.1666666666666665,3,7,22,0
1852,4,1,14,6,3,6,19,19,0
1879,3,6,7,16,2.3333333333333335,14,14,4,0
1978,4,3,14,6,5.5,3,11,18,0
2015,3,12,7,6,4,11,6,16,0
2029,4,0,7,7,4.666666666666667,9,14,17,0
2035,4,1,10,6,4,7,13,20,0
2039,4,0,7,6,2.1666666666666665,2,3,16,0
2055,3,8,11,6,5,6,20,28,0
2058,3,10,19,9,5.333333333333333,2,6,19,0
2066,3,7,7,10,2.5,14,20,8,0
2107,4,3,12,6,3.6666666666666665,8,7,20,0
2179,4,2,12,6,5.166666666666667,3,13,18,0
2181,4,0,7,6,1.6666666666666667,10,15,13,0
2197,4,3,7,6,4.5,6,6,17,0
2200,4,2,7,6,1.3333333333333333,4,6,16,0
2255,3,2,12,12,4.166666666666667,11,12,22,0
2256,3,7,7,11,4,8,7,15,0
2257,4,1,8,7,5,12,12,17,0
2258,3,1,10,12,4.666666666666667,2,9,17,0
2261,4,1,7,6,4.833333333333333,4,6,24,0
2295,4,3,13,6,3.8333333333333335,4,8,7,0
2301,4,2,7,6,3,10,9,13,0
2311,4,4,10,6,3.6666666666666665,10,7,20,0
2317,4,5,7,6,4.166666666666667,3,8,16,0
2324,3,2,7,10,1.6666666666666667,6,7,21,0
2368,3,1,13,9,5.333333333333333,7,13,9,0
2369,4,2,8,7,2.5,8,9,17,0
2402,4,4,8,6,3.1666666666666665,10,14,20,0
2403,3,1,8,15,4.5,7,13,21,0
2416,4,5,10,7,4.333333333333333,6,5,21,0
2420,3,4,7,11,5.333333333333333,4,10,14,0
2429,3,4,15,9,4.833333333333333,8,5,20,0
2430,2,1,7,9,3.1666666666666665,2,3,18,0
2445,3,7,14,7,4.833333333333333,5,7,18,0
2449,4,2,7,6,3.6666666666666665,3,3,16,0
2462,4,5,7,7,3,5,9,23,0
2465,3,7,11,20,5.666666666666667,12,13,24,0
2520,3,20,19,19,2.3333333333333335,12,3,16,0
2685,3,2,12,8,2.1666666666666665,2,4,13,0
2753,3,7,9,11,4.666666666666667,5,14,20,0
2770,2,5,7,8,5.5,3,12,21,0
2781,3,7,15,8,4.333333333333333,8,17,22,0
2867,3,4,24,11,5.5,8,12,24,0
2903,4,2,7,6,3.3333333333333335,4,9,22,0
2923,4,5,7,6,3,8,9,21,0
2952,4,2,12,6,2.8333333333333335,6,6,20,0
2997,7,8,13,20,5.666666666666667,5,8,16,3
3030,4,1,9,6,3.6666666666666665,11,11,16,0
3069,7,10,8,22,4.833333333333333,10,7,14,3
3112,4,3,7,7,2.5,3,13,21,0
3122,3,3,9,13,4.666666666666667,7,4,20,0
3169,4,1,7,6,3.5,10,6,27,0
3170,3,5,13,12,2.5,2,6,27,0
3173,4,2,7,7,2.3333333333333335,5,6,18,0
3181,3,8,13,13,3.1666666666666665,4,8,16,0
3186,3,4,17,23,4.833333333333333,2,5,22,0
3279,4,1,8,6,2.1666666666666665,10,4,7,0
3304,3,7,17,10,3,5,6,21,0
3314,3,4,31,19,3.3333333333333335,7,7,17,0
3322,3,10,26,24,2.5,8,17,18,0
3324,3,7,11,24,3.6666666666666665,12,13,12,0
3356,3,4,19,15,1.6666666666666667,6,9,20,0
3374,2,7,7,7,2.3333333333333335,5,11,15,0
3424,3,6,8,13,3.6666666666666665,7,10,20,0
3467,3,1,9,17,3.8333333333333335,11,8,8,0
3485,3,14,7,15,4,12,18,8,0
3486,3,8,10,10,2.3333333333333335,10,15,18,0
3488,3,6,8,6,3.5,8,13,16,0
3537,3,7,7,15,1.5,8,16,9,0
3540,3,5,11,7,2.5,7,9,23,0
3552,3,2,7,11,4,8,10,19,0
3564,3,3,20,17,4.5,8,8,19,0
3602,4,3,7,6,3.8333333333333335,7,4,9,0
3604,3,3,9,11,2.6666666666666665,13,7,16,0
3620,3,7,39,29,4.5,7,15,17,0
3621,3,4,7,14,1.8333333333333333,10,8,18,0
3706,4,0,9,7,3.1666666666666665,6,11,12,0
3732,3,10,22,25,2.1666666666666665,12,9,15,0
3740,7,31,22,27,3.6666666666666665,14,6,13,0
3764,3,4,9,13,4.166666666666667,7,12,11,0
3781,3,3,7,10,2.3333333333333335,9,7,17,0
3833,3,4,7,12,2,4,8,9,0
3851,3,7,8,20,2.5,12,18,13,0
3894,3,5,26,16,2.5,13,20,12,0
3913,3,7,9,10,3,4,5,21,0
3931,3,5,7,17,3,10,16,11,0
3932,3,5,8,23,1.3333333333333333,11,5,19,0
3959,3,2,8,10,2.6666666666666665,9,12,16,0
3960,3,6,27,22,3.5,8,16,24,0
3966,3,4,7,8,1.5,5,17,13,0
3989,3,14,7,11,2.1666666666666665,7,18,21,0
3994,3,7,9,10,4.333333333333333,4,5,19,0
4002,3,11,25,11,3.8333333333333335,3,8,25,0
4058,3,6,8,12,2,14,8,27,0
4079,3,2,13,8,2.5,7,11,12,0
4128,3,5,22,28,4.666666666666667,3,11,18,0
4205,7,3,17,11,4,2,11,18,3
4289,3,12,7,19,4.833333333333333,10,17,22,0
4298,3,14,10,20,1.6666666666666667,7,5,14,0
4319,4,0,7,6,5,10,11,16,0
4369,3,6,19,25,3.1666666666666665,12,21,15,0
4441,3,6,13,19,2.6666666666666665,11,10,19,0
4453,3,4,12,14,3.5,3,8,13,0
4458,3,8,15,28,4,8,15,18,0
4481,3,6,12,11,3.6666666666666665,7,8,16,0
4515,3,14,11,12,3.1666666666666665,14,9,19,0
4726,3,12,18,6,3.8333333333333335,4,8,24,0
4772,3,4,7,28,5,10,13,14,0
4779,3,7,19,18,4.166666666666667,8,18,21,0
4821,4,0,7,6,3.5,14,18,6,0
4851,3,7,20,25,3,8,12,16,0
4856,3,5,17,16,3.8333333333333335,9,13,16,0
4862,3,3,13,13,4.166666666666667,10,14,19,0
4939,3,12,9,11,1.8333333333333333,7,7,17,0
4999,3,2,10,9,2,6,12,15,0
5000,3,4,11,11,3.5,7,15,16,0
5007,3,2,10,8,3,10,5,21,0
5091,3,5,8,14,1.5,11,4,14,0
5137,3,5,12,13,2.6666666666666665,8,15,17,0
5165,3,6,9,14,1.1666666666666667,2,10,25,0
5211,3,3,14,14,2.5,5,13,24,0
5226,3,6,18,8,5,7,12,19,0
5236,3,7,16,18,3.5,3,13,18,0
5305,3,10,27,22,1.1666666666666667,8,15,19,0
5323,3,4,7,13,2.3333333333333335,13,16,9,0
5369,3,4,10,11,2.8333333333333335,4,8,21,0
5431,4,0,11,6,4.5,12,21,18,0
5452,3,7,10,15,1.3333333333333333,14,10,22,0
5459,4,3,8,7,3,4,15,7,0
5506,4,1,12,7,3.5,13,19,16,0
5675,3,7,15,18,4.5,5,7,26,0
5680,3,4,7,9,4.166666666666667,4,18,21,0
5745,3,14,27,21,1.1666666666666667,14,20,27,0
5750,3,10,16,27,3.3333333333333335,8,8,21,0
5767,3,5,15,14,4.833333333333333,3,18,22,0
5856,3,10,18,23,2.6666666666666665,11,17,10,0
5865,3,4,9,15,1.1666666666666667,3,3,18,0
5902,7,7,12,18,3.3333333333333335,9,13,14,1
5935,3,5,18,12,2.5,10,6,20,0
5939,3,5,16,20,4.5,4,13,19,0
5965,3,4,7,24,3,9,16,18,0
6043,4,2,9,6,4.666666666666667,13,12,16,0
6064,3,7,11,21,1.3333333333333333,12,16,12,0
6106,4,0,10,6,1.5,9,14,13,0
6115,3,6,25,24,3.6666666666666665,12,15,14,0
6119,3,7,7,19,1.8333333333333333,9,17,16,0
6142,3,7,12,14,3.5,9,7,16,0
6149,3,7,17,14,3,2,9,18,0
6166,7,10,8,14,4.333333333333333,10,7,19,3
6204,3,2,22,25,4,10,8,14,0
6278,3,7,12,10,1.5,3,13,18,0
6288,3,7,7,6,2.6666666666666665,13,11,13,0
6327,3,1,9,13,2.3333333333333335,12,13,11,0
6352,3,1,16,19,3.3333333333333335,8,8,20,0
6373,3,1,15,22,4.5,13,14,22,0
6391,7,7,24,27,3,7,14,26,3
6398,3,3,22,21,4.833333333333333,3,10,24,0
6462,3,4,16,16,1.1666666666666667,11,6,20,0
6466,3,3,19,10,3,13,5,20,0
6503,3,3,20,18,3.3333333333333335,11,12,19,0
6550,3,6,8,10,2,8,15,16,0
6621,3,7,24,26,4.166666666666667,13,13,16,0
6635,3,4,25,20,2.3333333333333335,8,14,16,0
6660,2,5,7,11,2.1666666666666665,4,7,19,0
6715,7,10,7,7,2.8333333333333335,5,14,15,1
6765,3,2,12,17,1.8333333333333333,8,21,14,0
6780,7,3,19,22,3.1666666666666665,8,9,15,1
6800,3,5,9,9,2.3333333333333335,7,9,21,0
6824,3,4,22,24,1.6666666666666667,10,12,10,0
6855,3,7,28,19,2,10,14,15,0
6866,3,4,11,16,3.5,12,8,20,0
6897,3,7,11,13,3.8333333333333335,10,3,17,0
6930,3,7,13,11,3.5,10,3,23,0
6961,3,5,8,10,2.6666666666666665,13,18,14,0
6982,3,7,30,22,2.1666666666666665,12,21,18,0
6983,3,5,9,10,1.3333333333333333,9,14,10,0
6989,3,5,7,14,3.8333333333333335,5,5,16,0
7000,3,7,7,6,5,10,3,9,0
7008,3,15,28,24,4.166666666666667,14,21,16,0
7021,3,3,7,13,1,11,15,12,0
7023,3,5,15,13,1.3333333333333333,4,15,15,0
7036,3,0,16,12,1.6666666666666667,8,11,16,0
7053,3,7,8,24,3,12,20,10,0
7081,4,0,7,6,1.5,7,9,16,0
7097,7,7,14,14,2.6666666666666665,14,18,17,3
7181,3,3,14,13,1.6666666666666667,5,7,19,0
7212,3,20,7,12,1,11,14,5,0
7213,3,4,7,7,2.3333333333333335,14,16,4,0
7237,3,4,23,16,2.5,10,16,18,0
7298,4,5,7,6,1.3333333333333333,2,5,22,0
7299,3,5,17,18,3.5,10,18,18,0
7330,4,3,7,7,2.6666666666666665,11,15,12,0
7333,3,8,21,10,2.6666666666666665,8,15,13,0
7388,3,10,7,9,3.5,12,16,7,0
7432,3,7,17,27,4,8,11,12,0
7470,3,16,7,6,2.5,14,16,15,0
7528,3,18,17,11,4.666666666666667,3,7,25,0
7576,3,3,11,15,2.5,8,7,15,0
7601,4,1,9,6,4.833333333333333,8,8,18,0
7612,4,1,8,6,4.166666666666667,11,10,20,0
7679,3,9,15,15,4.666666666666667,10,10,23,0
7691,3,5,11,13,1.3333333333333333,7,15,18,0
7712,3,8,9,15,2.8333333333333335,10,16,18,0
7739,3,3,11,20,2,11,18,10,0
7754,4,0,7,7,3,13,18,16,0
7832,3,3,7,9,3,7,8,17,0
7840,3,7,7,16,3.5,12,9,11,0
7850,3,10,7,6,5.666666666666667,2,3,17,0
7868,3,9,10,11,3.3333333333333335,2,8,21,0
7900,3,3,20,29,3.3333333333333335,12,13,21,0
7926,3,12,12,22,3.8333333333333335,8,17,8,0
7939,3,7,7,20,1.8333333333333333,13,21,14,0
7941,3,4,19,10,2.3333333333333335,11,10,4,0
7958,3,7,15,15,5,2,6,24,0
7959,3,7,7,16,2.8333333333333335,7,9,12,0
8032,3,2,10,7,2.5,8,4,5,0
8033,3,0,16,8,1.8333333333333333,7,15,20,0
8053,3,2,7,13,2.5,8,10,8,0
8105,7,8,27,15,3.8333333333333335,6,12,20,3
8218,3,6,15,18,4,2,6,22,0
8232,4,1,7,6,3.3333333333333335,3,12,17,0
8269,3,3,11,13,3.6666666666666665,6,11,17,0
8412,3,7,7,12,2.1666666666666665,14,21,11,0
8458,3,7,21,12,2.1666666666666665,13,19,7,0
8528,3,10,19,25,5.166666666666667,2,6,21,0
8590,3,4,20,29,3.8333333333333335,6,14,16,0
8616,4,0,10,6,4.166666666666667,5,7,16,0
8650,3,5,11,20,3.3333333333333335,7,10,23,0
8840,3,1,7,15,4.833333333333333,2,4,15,0
8870,3,2,11,19,4,2,7,22,0
8886,3,3,13,8,5.833333333333333,5,10,17,0
8903,4,4,7,6,1.3333333333333333,10,15,10,0
8912,4,4,11,6,5.5,3,3,23,0
8929,3,3,14,9,3.5,4,7,23,0
8931,3,2,21,11,3.5,7,15,16,0
8965,3,1,12,12,4.666666666666667,5,9,20,0
9106,3,7,16,13,5,8,5,11,0
9107,4,2,12,6,5.166666666666667,2,8,22,0
9111,4,3,8,6,3.5,2,8,18,0
9116,3,10,7,7,4.833333333333333,12,15,6,0
9129,3,4,29,22,5,8,11,20,0
9136,3,5,20,12,4.666666666666667,5,12,19,0
9151,3,4,25,17,4.833333333333333,2,3,21,0
