uid,cluster,sex_drive,csbd,ppcs,soi_r_me,social_anxiety,lon,mvs,attraction_to_children
426,6,1,14,14,5.166666666666667,10,15,22,0
467,5,3,9,6,4.666666666666667,2,3,20,0
523,6,3,10,13,4.666666666666667,6,11,21,0
532,5,1,10,6,4.833333333333333,4,7,17,0
543,5,2,7,6,2.1666666666666665,2,3,20,0
554,5,3,7,6,4.833333333333333,2,10,19,0
573,6,5,12,22,3.5,5,8,17,0
590,5,2,7,6,4.5,4,7,18,0
601,6,8,7,6,3.8333333333333335,3,8,16,0
611,6,12,18,7,5.166666666666667,6,16,20,0
676,6,5,9,13,4.333333333333333,9,17,17,0
684,6,12,12,15,4,12,16,21,0
702,5,0,7,6,4.333333333333333,7,13,17,0
732,6,2,7,10,3.5,11,9,19,0
759,5,1,13,6,3.5,2,7,21,0
777,6,14,8,6,2,2,9,19,0
785,5,5,7,6,3.8333333333333335,3,9,21,0
803,6,10,11,21,5.333333333333333,5,16,21,0
811,6,3,17,17,5.5,2,5,14,0
825,5,0,7,6,3,11,9,12,0
831,6,2,26,17,2.5,6,12,18,0
836,6,4,14,21,5.833333333333333,2,5,24,0
864,6,10,23,29,4.666666666666667,9,4,16,0
889,5,2,12,6,4.666666666666667,2,11,19,0
904,6,3,9,11,4.333333333333333,10,7,21,0
924,6,2,14,16,4.833333333333333,4,15,24,0
967,6,7,32,28,2,6,11,19,0
969,6,3,21,12,5,5,8,16,0
1130,5,2,9,6,3.6666666666666665,6,12,18,0
1133,6,7,18,18,5.833333333333333,10,14,18,0
1177,6,12,18,35,4.333333333333333,2,15,4,0
1264,4,24,24,27,2.5,5,11,14,0
1413,5,1,8,6,3.5,7,12,17,0
1414,6,7,37,12,3.1666666666666665,7,19,27,0
1438,5,1,7,6,3.8333333333333335,8,9,20,0
1454,6,0,22,6,4,3,13,20,0
1475,6,3,14,27,4.166666666666667,9,15,15,0
1491,6,6,7,18,3.3333333333333335,10,10,18,0
1546,5,2,8,7,1.3333333333333333,4,9,24,0
1605,6,9,15,9,5,5,8,16,0
1617,5,1,11,6,3.8333333333333335,6,9,16,0
1643,6,2,25,10,6,13,19,12,0
1701,5,5,7,6,2.3333333333333335,4,3,19,0
1759,6,3,28,6,5.166666666666667,2,15,20,0
1807,5,3,7,6,4,6,5,23,0
1859,5,0,7,6,5.166666666666667,2,8,16,0
1865,1,13,30,32,4.5,2,9,20,2
1888,5,1,7,6,5.166666666666667,7,14,16,0
1921,6,16,25,27,6,4,16,18,0
1949,6,15,17,10,6,4,8,18,0
1972,5,1,7,6,4.666666666666667,2,3,23,0
2004,5,2,7,6,4.833333333333333,2,9,18,0
2015,6,12,7,6,4,11,6,16,0
2035,5,1,10,6,4,7,13,20,0
2044,6,1,23,14,3.3333333333333335,8,17,20,0
2045,6,2,21,7,3,5,15,15,0
2072,6,10,9,8,5.166666666666667,9,10,18,0
