uid,cluster,sex_drive,csbd,ppcs,soi_r_me,social_anxiety,lon,mvs,attraction_to_children
407,3,3,14,11,4,8,14,17,0
436,3,5,11,18,5.666666666666667,7,13,20,0
441,3,2,7,15,2.1666666666666665,8,5,17,0
443,3,10,15,23,5.666666666666667,7,6,22,0
467,1,3,9,6,4.666666666666667,2,3,20,0
502,1,0,10,6,3.5,4,11,16,0
531,1,4,12,6,2.5,4,11,24,0
579,3,5,13,11,2.3333333333333335,5,3,19,0
589,5,4,8,7,5.333333333333333,3,6,23,0
640,1,5,9,6,4.166666666666667,2,7,22,0
661,3,2,8,9,4.333333333333333,2,13,20,0
676,3,5,9,13,4.333333333333333,9,17,17,0
702,5,0,7,6,4.333333333333333,7,13,17,0
728,5,6,7,7,4.166666666666667,9,15,17,0
732,3,2,7,10,3.5,11,9,19,0
803,3,10,11,21,5.333333333333333,5,16,21,0
804,3,5,12,12,4.833333333333333,8,10,24,0
878,3,1,33,19,4.333333333333333,3,12,16,0
889,1,2,12,6,4.666666666666667,2,11,19,0
914,3,1,16,16,2.3333333333333335,2,6,8,0
1012,3,9,14,12,3.5,12,17,16,0
1025,6,2,13,14,3.1666666666666665,7,12,17,1
1082,3,3,15,14,4.666666666666667,4,7,22,0
1085,3,0,17,8,3.1666666666666665,10,19,11,0
1122,5,2,7,7,3.1666666666666665,4,9,21,0
1139,3,4,12,18,3.6666666666666665,5,13,24,0
1177,3,12,18,35,4.333333333333333,2,15,4,0
1274,1,1,11,6,4.333333333333333,2,9,18,0
1346,3,3,8,9,3.8333333333333335,6,10,21,0
1361,3,2,16,14,5.333333333333333,2,6,20,0
1404,5,1,7,6,2.6666666666666665,5,3,15,0
1435,3,10,7,15,3.3333333333333335,9,12,8,0
1459,3,0,7,8,2.6666666666666665,4,9,15,0
1475,3,3,14,27,4.166666666666667,9,15,15,0
1595,6,31,16,27,2.6666666666666665,14,21,5,0
1607,5,1,7,6,2.1666666666666665,2,3,19,0
1636,3,6,18,12,1.8333333333333333,3,12,21,0
1807,5,3,7,6,4,6,5,23,0
1858,3,8,16,12,5.666666666666667,2,7,19,0
1859,5,0,7,6,5.166666666666667,2,8,16,0
1879,3,6,7,16,2.3333333333333335,14,14,4,0
1921,3,16,25,27,6,4,16,18,0
1936,1,0,10,6,4.5,4,14,22,0
1978,1,3,14,6,5.5,3,11,18,0
1981,1,4,9,6,2.8333333333333335,3,6,25,0
2004,5,2,7,6,4.833333333333333,2,9,18,0
2049,5,3,7,6,4,10,9,21,0
2058,3,10,19,9,5.333333333333333,2,6,19,0
2068,1,0,8,6,3.1666666666666665,8,12,16,0
2072,3,10,9,8,5.166666666666667,9,10,18,0
2095,3,0,10,9,5.5,7,3,20,0
2096,3,7,20,15,4.333333333333333,4,9,22,0
2115,3,4,9,7,4.166666666666667,4,5,16,0
2116,3,2,18,11,5.166666666666667,10,12,20,0
2124,3,0,9,7,2.5,8,7,17,0
2127,3,4,11,9,3.8333333333333335,2,6,21,0
2128,1,0,13,6,5.166666666666667,2,5,23,0
2154,7,1,10,15,3.8333333333333335,6,6,14,2
2179,1,2,12,6,5.166666666666667,3,13,18,0
2215,5,3,7,6,4.333333333333333,3,9,21,0
2223,3,1,25,6,5.833333333333333,12,15,10,0
2256,3,7,7,11,4,8,7,15,0
2262,3,4,7,16,5,3,3,28,0
2286,1,0,9,6,3.3333333333333335,2,5,17,0
2289,3,3,15,12,4.666666666666667,2,8,20,0
2296,5,5,7,6,3.1666666666666665,3,5,17,0
2301,5,2,7,6,3,10,9,13,0
2311,1,4,10,6,3.6666666666666665,10,7,20,0
2322,6,3,7,7,5.5,7,6,14,1
2324,3,2,7,10,1.6666666666666667,6,7,21,0
2403,3,1,8,15,4.5,7,13,21,0
2412,3,2,7,14,4.333333333333333,10,8,18,0
2429,3,4,15,9,4.833333333333333,8,5,20,0
2440,3,9,24,23,3.5,8,8,14,0
2445,3,7,14,7,4.833333333333333,5,7,18,0
2489,6,7,31,24,2.6666666666666665,11,10,19,1
2494,6,2,7,16,3.5,6,12,13,1
2525,3,4,20,12,3,8,13,23,0
2656,5,4,8,6,4,2,5,23,0
2685,3,2,12,8,2.1666666666666665,2,4,13,0
2709,3,4,11,10,2.5,3,6,24,0
2781,3,7,15,8,4.333333333333333,8,17,22,0
2799,3,1,10,12,3.8333333333333335,8,8,16,0
2912,5,2,8,7,2.8333333333333335,5,12,16,0
2919,5,3,8,7,2.3333333333333335,6,7,12,0
2926,7,2,15,16,3.1666666666666665,2,14,20,3
2987,1,0,11,6,3.5,5,14,21,0
3112,5,3,7,7,2.5,3,13,21,0
3189,3,1,9,12,3.5,8,14,14,0
3291,3,8,7,8,3.3333333333333335,10,10,4,0
3314,3,4,31,19,3.3333333333333335,7,7,17,0
3334,3,7,7,8,2.6666666666666665,5,18,11,0
3363,3,10,14,22,3,8,10,11,0
3366,3,10,11,9,2.5,10,4,17,0
3377,3,10,19,21,4.166666666666667,8,12,18,0
3391,3,3,29,33,2,7,13,21,0
3399,3,6,36,29,2.3333333333333335,7,15,16,0
3429,3,12,8,23,1.5,10,14,19,0
3437,5,5,7,7,4.5,5,3,20,0
3451,3,7,7,22,3,8,14,8,0
3479,3,6,16,9,3.1666666666666665,14,10,25,0
3519,3,7,28,22,3.3333333333333335,11,13,16,0
3540,3,5,11,7,2.5,7,9,23,0
3568,3,7,27,21,1.8333333333333333,8,10,17,0
3623,3,3,46,38,3.6666666666666665,14,21,13,0
3625,3,3,10,13,3.3333333333333335,11,7,12,0
3649,3,7,19,27,1.6666666666666667,9,21,25,0
3656,5,3,7,7,1.3333333333333333,10,6,20,0
3659,3,9,15,6,2.3333333333333335,14,16,12,0
3664,3,4,13,14,3.1666666666666665,4,7,14,0
3744,3,6,8,8,3.5,11,8,17,0
3749,3,4,24,19,2.5,9,10,17,0
3763,3,3,10,6,2.6666666666666665,13,16,8,0
3791,3,4,20,14,3.8333333333333335,4,13,19,0
3808,3,4,23,20,1.8333333333333333,9,7,20,0
3839,3,6,7,17,3.1666666666666665,5,16,19,0
3845,3,5,7,9,1.8333333333333333,12,14,18,0
3847,3,3,7,13,3,6,9,18,0
3878,3,10,26,23,1.3333333333333333,7,11,28,0
3900,3,7,7,27,4,7,9,17,0
3902,3,7,7,11,2.5,5,16,21,0
3905,6,31,37,40,1.5,14,19,4,0
3913,3,7,9,10,3,4,5,21,0
3981,3,4,8,10,4,4,8,21,0
3994,3,7,9,10,4.333333333333333,4,5,19,0
4032,3,0,7,18,1.5,9,13,12,0
4058,3,6,8,12,2,14,8,27,0
4085,7,2,33,35,2.3333333333333335,10,14,16,3
4095,5,0,7,6,1.1666666666666667,7,9,12,0
4128,3,5,22,28,4.666666666666667,3,11,18,0
4157,3,12,24,20,4.833333333333333,10,15,4,0
4159,3,4,7,18,4.166666666666667,6,8,18,0
4183,3,10,7,7,3.6666666666666665,7,6,16,0
4194,3,8,15,13,2.3333333333333335,6,10,16,0
4205,7,3,17,11,4,2,11,18,3
4224,3,0,8,11,1.8333333333333333,12,13,17,0
4229,3,3,22,19,1.6666666666666667,7,14,22,0
4242,3,6,7,9,3.5,6,7,18,0
4256,3,8,20,23,3.8333333333333335,9,16,20,0
4290,3,6,29,27,3.3333333333333335,11,17,16,0
4295,3,7,7,8,2,7,11,17,0
4319,5,0,7,6,5,10,11,16,0
4321,1,2,9,6,1.8333333333333333,11,15,16,0
4363,3,2,7,8,2.1666666666666665,10,16,21,0
4399,3,9,10,14,2.6666666666666665,8,14,18,0
4401,3,0,19,6,3.8333333333333335,2,6,20,0
4458,3,8,15,28,4,8,15,18,0
4481,3,6,12,11,3.6666666666666665,7,8,16,0
4537,3,5,11,18,2.3333333333333335,5,8,22,0
4540,3,3,19,29,3,10,13,21,0
4584,3,3,17,9,2.6666666666666665,7,6,20,0
4621,3,8,7,9,2,7,6,20,0
4631,3,6,11,16,2.1666666666666665,11,15,9,0
4678,3,5,7,15,3,13,19,8,0
4682,3,8,13,26,3,10,9,15,0
4687,3,3,18,12,1.8333333333333333,8,18,12,0
4720,3,7,19,14,2.5,2,4,23,0
4736,3,0,14,11,1,2,11,20,0
4753,3,2,7,8,2.3333333333333335,11,13,15,0
4779,3,7,19,18,4.166666666666667,8,18,21,0
4851,3,7,20,25,3,8,12,16,0
4891,3,3,7,19,3.1666666666666665,7,14,8,0
4939,3,12,9,11,1.8333333333333333,7,7,17,0
4975,3,2,11,10,1.5,7,14,14,0
4976,3,5,19,17,4,7,7,12,0
4991,3,20,9,10,2.8333333333333335,4,6,26,0
5000,3,4,11,11,3.5,7,15,16,0
5060,3,3,11,13,1.8333333333333333,9,11,12,0
5163,3,2,22,21,4.5,13,17,16,0
5200,3,11,16,15,3.3333333333333335,11,13,9,0
5217,3,4,8,15,3,5,7,17,0
5233,5,2,8,6,2.5,5,13,15,0
5305,3,10,27,22,1.1666666666666667,8,15,19,0
5340,3,7,18,23,3,8,11,15,0
5344,3,4,10,25,3.3333333333333335,12,19,11,0
5405,3,4,7,20,4.333333333333333,7,9,20,0
5431,1,0,11,6,4.5,12,21,18,0
5455,3,3,10,13,3,11,9,12,0
5622,3,11,10,23,4.833333333333333,2,11,10,0
5683,3,7,7,15,3,4,8,17,0
5708,3,8,19,18,1.8333333333333333,7,19,13,0
5716,3,7,7,11,2.1666666666666665,3,9,20,0
5735,3,10,7,11,3.6666666666666665,4,7,20,0
5750,3,10,16,27,3.3333333333333335,8,8,21,0
5772,3,2,17,12,4.333333333333333,8,11,24,0
5775,3,9,21,14,3.1666666666666665,10,18,8,0
5780,3,8,11,23,2.6666666666666665,9,8,14,0
5804,3,4,15,14,2.6666666666666665,8,11,22,0
5837,1,1,9,6,2,10,11,24,0
5886,3,5,13,14,1.5,10,10,13,0
5965,3,4,7,24,3,9,16,18,0
6009,3,5,23,23,3.1666666666666665,14,16,11,0
6115,3,6,25,24,3.6666666666666665,12,15,14,0
6132,3,6,11,16,2.5,11,7,19,0
6137,1,4,9,6,3.1666666666666665,6,9,17,0
6186,3,7,27,34,1.3333333333333333,4,10,16,0
6187,3,0,9,12,2.1666666666666665,6,12,15,0
6223,7,0,28,18,1,5,10,23,3
6278,3,7,12,10,1.5,3,13,18,0
6289,3,10,7,10,2.6666666666666665,12,15,17,0
6299,3,13,26,26,3.6666666666666665,7,18,23,0
6307,3,7,18,32,3.5,11,21,4,0
6334,3,8,9,17,2.5,7,21,5,0
6349,3,5,16,13,2.1666666666666665,2,6,28,0
6373,3,1,15,22,4.5,13,14,22,0
6391,7,7,24,27,3,7,14,26,3
6396,3,4,9,14,2.8333333333333335,11,15,10,0
6413,5,5,7,6,2.1666666666666665,9,13,19,0
6425,5,1,7,6,2.1666666666666665,11,13,14,0
6466,3,3,19,10,3,13,5,20,0
6536,3,7,11,21,3.6666666666666665,13,9,19,0
6653,5,1,8,6,2.6666666666666665,7,12,21,0
6665,3,3,21,12,5,7,8,21,0
6693,3,2,27,10,4.333333333333333,4,10,21,0
6727,3,4,7,11,2.1666666666666665,10,10,12,0
6728,3,10,7,10,2.5,5,10,20,0
6775,3,7,29,34,3.3333333333333335,11,13,20,0
6821,3,10,12,13,1,14,11,11,0
6866,3,4,11,16,3.5,12,8,20,0
6879,3,7,12,13,4.333333333333333,8,14,17,0
6897,3,7,11,13,3.8333333333333335,10,3,17,0
6899,3,4,8,19,2.6666666666666665,8,10,17,0
6905,3,7,8,18,3.6666666666666665,12,16,13,0
6910,5,3,7,7,1.8333333333333333,10,10,17,0
6941,3,3,8,21,2,8,8,13,0
6955,3,6,16,24,2.6666666666666665,8,16,19,0
6962,3,5,19,20,3.1666666666666665,12,13,17,0
6980,3,10,18,25,1.1666666666666667,7,12,16,0
6982,3,7,30,22,2.1666666666666665,12,21,18,0
6989,3,5,7,14,3.8333333333333335,5,5,16,0
7008,3,15,28,24,4.166666666666667,14,21,16,0
7035,3,1,9,11,4.5,4,9,16,0
7036,3,0,16,12,1.6666666666666667,8,11,16,0
7037,3,14,20,33,3.5,12,14,11,0
7079,3,6,25,21,3.5,4,20,17,0
7103,3,20,19,18,4,14,21,15,0
7133,3,4,14,14,3.6666666666666665,5,11,17,0
7184,3,7,7,13,4,13,18,11,0
7213,5,4,7,7,2.3333333333333335,14,16,4,0
7221,3,5,28,14,3.1666666666666665,13,14,12,0
7299,3,5,17,18,3.5,10,18,18,0
7308,3,7,7,8,2.8333333333333335,2,4,18,0
7357,3,6,7,12,2.3333333333333335,11,17,16,0
7481,5,3,7,6,1.8333333333333333,14,15,11,0
7493,3,14,18,17,2.8333333333333335,9,10,19,0
7511,3,5,21,13,3,4,9,25,0
7538,5,1,7,6,3,3,8,16,0
7664,3,6,19,8,5,8,15,24,0
7676,3,5,9,17,2.5,11,13,12,0
7731,3,10,8,26,2.1666666666666665,14,14,8,0
7734,3,5,12,15,3.3333333333333335,6,14,13,0
7736,5,0,7,7,1.6666666666666667,13,18,15,0
7739,3,3,11,20,2,11,18,10,0
7754,5,0,7,7,3,13,18,16,0
7755,3,7,24,12,2.3333333333333335,11,18,6,0
7759,1,1,8,6,2.8333333333333335,10,10,19,0
7770,3,6,9,6,2.6666666666666665,10,5,16,0
7783,5,1,7,6,2.6666666666666665,8,16,22,0
7840,3,7,7,16,3.5,12,9,11,0
7863,1,1,10,6,4.166666666666667,4,7,17,0
7900,3,3,20,29,3.3333333333333335,12,13,21,0
7939,3,7,7,20,1.8333333333333333,13,21,14,0
7959,3,7,7,16,2.8333333333333335,7,9,12,0
7969,3,4,12,22,2.3333333333333335,11,20,8,0
7982,3,4,9,8,1.6666666666666667,10,8,20,0
8002,3,14,7,26,2.1666666666666665,14,11,18,0
8025,3,9,23,20,1.5,12,12,20,0
8033,3,0,16,8,1.8333333333333333,7,15,20,0
8041,3,7,18,18,2.8333333333333335,9,5,16,0
8061,3,7,18,21,2,13,14,17,0
8063,5,9,7,6,1.8333333333333333,5,10,16,0
8105,7,8,27,15,3.8333333333333335,6,12,20,3
8202,3,5,7,10,2.6666666666666665,14,16,16,0
8218,3,6,15,18,4,2,6,22,0
8232,5,1,7,6,3.3333333333333335,3,12,17,0
8251,3,6,24,13,4,12,10,16,0
8412,3,7,7,12,2.1666666666666665,14,21,11,0
8514,3,4,11,8,5,4,8,21,0
8533,3,4,14,10,2.3333333333333335,12,17,11,0
8544,3,1,15,6,4.5,8,6,17,0
8548,1,2,9,7,2.8333333333333335,2,9,19,0
8578,5,1,7,7,2.3333333333333335,5,8,16,0
8599,3,7,25,24,5.833333333333333,2,3,22,0
8616,1,0,10,6,4.166666666666667,5,7,16,0
8631,5,1,7,7,5.833333333333333,10,14,20,0
8661,5,2,7,7,4.333333333333333,3,5,21,0
8686,3,5,8,8,5.166666666666667,4,10,22,0
8689,3,2,10,8,4.833333333333333,3,4,18,0
8754,1,2,12,7,2.8333333333333335,6,9,15,0
8767,5,3,7,6,4.833333333333333,5,6,22,0
8799,5,1,7,6,4.833333333333333,5,3,20,0
8847,5,3,7,6,3.1666666666666665,4,9,13,0
8870,3,2,11,19,4,2,7,22,0
8882,3,5,17,7,5,4,11,23,0
8929,3,3,14,9,3.5,4,7,23,0
8935,3,1,8,9,5.166666666666667,2,6,19,0
8966,3,5,7,11,3,4,8,25,0
