uid,cluster,sex_drive,csbd,ppcs,soi_r_me,social_anxiety,lon,mvs,attraction_to_children
428,2,6,12,7,4.166666666666667,7,7,17,0
441,2,2,7,15,2.1666666666666665,8,5,17,0
446,1,1,7,6,4.833333333333333,2,7,24,0
450,2,4,7,11,1.8333333333333333,5,6,26,0
479,2,4,13,15,4.333333333333333,7,10,20,0
504,2,4,24,23,3.5,7,13,13,0
506,2,4,14,10,4.166666666666667,4,5,27,0
507,2,1,14,6,2,4,10,18,0
531,1,4,12,6,2.5,4,11,24,0
577,2,4,13,12,4.166666666666667,6,4,18,0
586,2,3,10,18,3.1666666666666665,8,7,20,0
592,2,3,7,15,2.8333333333333335,9,8,24,0
614,2,4,14,11,5.666666666666667,4,8,24,0
621,1,0,7,6,4.833333333333333,8,11,15,0
663,1,1,7,6,2.1666666666666665,6,11,16,0
672,1,0,7,6,1.1666666666666667,3,5,27,0
687,1,0,7,6,2.3333333333333335,4,3,21,0
711,1,1,7,6,1.3333333333333333,2,7,20,0
729,1,3,7,6,2,5,6,22,0
770,2,3,12,12,2.8333333333333335,8,10,22,0
779,1,1,7,6,5.5,2,10,23,0
788,2,5,7,10,4.666666666666667,6,6,21,0
873,2,3,7,13,5.166666666666667,2,3,20,0
957,2,2,21,19,4,6,7,20,0
968,2,6,25,8,5.333333333333333,7,9,19,0
985,2,3,13,17,6,11,20,15,0
1046,2,3,13,6,3,11,6,16,0
1048,2,0,15,7,1.6666666666666667,7,11,18,0
1136,2,7,25,18,4,13,18,14,0
1159,1,5,7,6,2.5,9,12,12,0
1174,4,7,7,9,3.3333333333333335,11,21,5,1
1274,1,1,11,6,4.333333333333333,2,9,18,0
1391,1,0,10,6,2.6666666666666665,3,9,22,0
1520,2,5,7,8,3.8333333333333335,6,14,23,0
1531,1,2,9,6,3.8333333333333335,2,10,19,0
1633,2,1,7,12,3.6666666666666665,5,12,19,0
1647,1,3,10,6,3.3333333333333335,8,6,20,0
1691,2,7,9,6,3,9,12,9,0
1723,1,1,11,6,2.6666666666666665,6,15,14,0
1768,2,4,9,13,3.1666666666666665,3,7,22,0
1851,1,1,12,6,2.8333333333333335,2,9,20,0
1870,1,0,9,6,3.6666666666666665,2,9,20,0
1936,1,0,10,6,4.5,4,14,22,0
1985,1,3,11,7,3,10,12,19,0
2030,1,2,11,6,3.6666666666666665,10,14,19,0
2034,2,5,16,6,5.5,5,12,23,0
2066,2,7,7,10,2.5,14,20,8,0
2095,2,0,10,9,5.5,7,3,20,0
2116,2,2,18,11,5.166666666666667,10,12,20,0
2134,2,0,19,6,5.166666666666667,14,3,4,0
2135,2,1,7,11,2.8333333333333335,3,5,21,0
2170,2,2,7,17,2,3,6,22,0
2204,1,0,12,6,4.666666666666667,8,12,19,0
2205,2,1,11,20,5.166666666666667,10,7,18,0
2215,1,3,7,6,4.333333333333333,3,9,21,0
2223,2,1,25,6,5.833333333333333,12,15,10,0
2231,2,10,11,6,3.3333333333333335,7,5,20,0
2247,2,5,13,9,5.5,7,10,16,0
2272,2,3,10,8,5.166666666666667,2,11,13,0
2289,2,3,15,12,4.666666666666667,2,8,20,0
2303,1,1,7,6,2,2,12,19,0
2317,1,5,7,6,4.166666666666667,3,8,16,0
2358,2,3,14,11,5.833333333333333,6,5,23,0
2369,1,2,8,7,2.5,8,9,17,0
2384,1,3,9,6,4,11,12,18,0
2419,2,7,7,21,5.333333333333333,2,12,19,0
2458,2,4,14,14,3.8333333333333335,8,6,18,0
2473,2,2,20,6,4.666666666666667,11,15,15,0
2517,2,0,14,6,4.833333333333333,3,10,19,0
2539,4,1,11,6,3.8333333333333335,11,13,9,3
2552,1,0,7,6,5.5,7,10,19,0
2556,2,5,31,31,4,13,11,20,0
2596,2,7,8,9,2,3,10,23,0
2599,2,6,27,6,2.8333333333333335,2,11,20,0
2724,2,10,7,8,3.5,4,6,17,0
2732,2,2,9,19,5.5,4,6,21,0
2753,2,7,9,11,4.666666666666667,5,14,20,0
2769,3,2,8,10,5,6,7,19,0
2781,2,7,15,8,4.333333333333333,8,17,22,0
2789,1,1,10,6,4.666666666666667,4,6,23,0
2918,1,0,7,6,4.5,6,12,24,0
2947,4,16,10,18,3.6666666666666665,13,15,16,1
2952,1,2,12,6,2.8333333333333335,6,6,20,0
2954,1,1,13,6,2.1666666666666665,5,9,20,0
2960,1,1,9,6,2.8333333333333335,13,17,14,0
2987,1,0,11,6,3.5,5,14,21,0
2989,3,3,8,9,5,2,4,23,0
3030,1,1,9,6,3.6666666666666665,11,11,16,0
3069,4,10,8,22,4.833333333333333,10,7,14,3
3122,2,3,9,13,4.666666666666667,7,4,20,0
3123,1,0,7,6,2.5,2,7,17,0
3162,1,1,7,6,3.5,6,18,11,0
3227,1,7,7,6,5.166666666666667,2,6,24,0
3331,2,0,17,6,1.3333333333333333,13,21,6,0
3363,2,10,14,22,3,8,10,11,0
3374,2,7,7,7,2.3333333333333335,5,11,15,0
3375,1,3,12,6,1.6666666666666667,12,13,16,0
3408,2,20,22,30,3.6666666666666665,10,19,24,0
3427,2,3,13,11,1.8333333333333333,10,17,12,0
3470,2,4,7,11,2.5,13,5,13,0
3552,2,2,7,11,4,8,10,19,0
3553,2,9,20,19,2.8333333333333335,11,17,15,0
3568,2,7,27,21,1.8333333333333333,8,10,17,0
3575,2,5,19,17,3,13,20,20,0
3593,2,7,8,10,2.1666666666666665,6,3,16,0
3638,2,2,13,20,2.5,14,14,9,0
3647,1,0,7,6,1.8333333333333333,2,7,15,0
3658,2,5,10,10,4.166666666666667,3,13,21,0
3665,2,3,10,17,3.3333333333333335,2,10,19,0
3722,2,7,22,30,4.333333333333333,12,9,16,0
3740,4,31,22,27,3.6666666666666665,14,6,13,0
3744,2,6,8,8,3.5,11,8,17,0
3749,2,4,24,19,2.5,9,10,17,0
3752,1,3,7,6,1,9,9,17,0
3768,2,6,7,14,1.1666666666666667,7,11,15,0
3816,2,7,11,10,3.8333333333333335,8,7,19,0
3866,2,4,20,25,3.6666666666666665,5,14,21,0
3894,2,5,26,16,2.5,13,20,12,0
3902,2,7,7,11,2.5,5,16,21,0
3921,2,5,7,12,2.8333333333333335,10,21,4,0
3940,2,6,18,12,2.8333333333333335,6,6,19,0
3944,2,7,10,9,2.5,9,16,24,0
3949,2,7,8,6,2.5,5,12,16,0
3960,2,6,27,22,3.5,8,16,24,0
3979,2,0,11,8,1,11,11,19,0
4080,2,14,23,14,3.3333333333333335,8,19,11,0
4090,2,2,10,10,2,7,10,20,0
4124,3,1,8,11,3.5,2,4,19,0
4128,2,5,22,28,4.666666666666667,3,11,18,0
4224,2,0,8,11,1.8333333333333333,12,13,17,0
4229,2,3,22,19,1.6666666666666667,7,14,22,0
4230,2,7,28,16,2.3333333333333335,5,14,21,0
4231,2,3,9,20,1.3333333333333333,13,17,6,0
4256,2,8,20,23,3.8333333333333335,9,16,20,0
4289,2,12,7,19,4.833333333333333,10,17,22,0
4298,2,14,10,20,1.6666666666666667,7,5,14,0
4322,4,31,7,14,3.6666666666666665,11,15,16,0
4363,2,2,7,8,2.1666666666666665,10,16,21,0
4441,2,6,13,19,2.6666666666666665,11,10,19,0
4443,2,6,7,11,2.5,14,13,18,0
4481,2,6,12,11,3.6666666666666665,7,8,16,0
4495,2,10,17,20,3.8333333333333335,11,11,20,0
4501,2,7,12,21,2.3333333333333335,9,8,17,0
4515,2,14,11,12,3.1666666666666665,14,9,19,0
4547,2,4,10,11,2.5,7,15,15,0
4576,2,2,11,11,1.3333333333333333,6,7,15,0
4648,2,5,7,17,3.6666666666666665,6,10,19,0
4687,2,3,18,12,1.8333333333333333,8,18,12,0
4726,2,12,18,6,3.8333333333333335,4,8,24,0
4803,2,10,26,24,5.333333333333333,2,4,20,0
4838,2,6,10,11,3,14,13,22,0
