uid,cluster,sex_drive,csbd,ppcs,soi_r_me,social_anxiety,lon,mvs,attraction_to_children
407,1,3,14,11,4,8,14,17,0
428,1,6,12,7,4.166666666666667,7,7,17,0
502,7,0,10,6,3.5,4,11,16,0
506,1,4,14,10,4.166666666666667,4,5,27,0
523,1,3,10,13,4.666666666666667,6,11,21,0
531,7,4,12,6,2.5,4,11,24,0
573,1,5,12,22,3.5,5,8,17,0
604,1,5,21,15,3.8333333333333335,4,12,21,0
605,7,0,7,6,4,6,13,17,0
639,7,4,9,6,4.5,2,6,21,0
676,1,5,9,13,4.333333333333333,9,17,17,0
684,1,12,12,15,4,12,16,21,0
685,1,7,19,22,5,2,8,23,0
737,7,1,9,6,1.8333333333333333,5,7,20,0
761,1,3,19,6,3.5,8,8,27,0
785,7,5,7,6,3.8333333333333335,3,9,21,0
788,1,5,7,10,4.666666666666667,6,6,21,0
800,5,7,25,19,3.8333333333333335,4,9,20,1
825,7,0,7,6,3,11,9,12,0
873,3,3,7,13,5.166666666666667,2,3,20,0
879,1,2,11,10,5.166666666666667,4,7,17,0
907,1,4,8,10,2.8333333333333335,8,5,23,0
1044,7,1,7,6,4.166666666666667,4,7,24,0
1109,1,4,18,11,3.5,3,3,24,0
1139,1,4,12,18,3.6666666666666665,5,13,24,0
1145,1,5,7,8,4.5,10,3,18,0
1235,1,4,7,11,4.833333333333333,2,17,14,0
1361,1,2,16,14,5.333333333333333,2,6,20,0
1458,1,0,7,12,4.833333333333333,8,8,17,0
1605,1,9,15,9,5,5,8,16,0
1625,7,1,7,6,3.3333333333333335,6,6,22,0
1633,1,1,7,12,3.6666666666666665,5,12,19,0
1686,7,4,7,6,4.5,4,4,24,0
1851,7,1,12,6,2.8333333333333335,2,9,20,0
1852,7,1,14,6,3,6,19,19,0
1859,7,0,7,6,5.166666666666667,2,8,16,0
1888,7,1,7,6,5.166666666666667,7,14,16,0
1949,1,15,17,10,6,4,8,18,0
2033,1,4,21,9,5.166666666666667,7,9,20,0
2035,7,1,10,6,4,7,13,20,0
2046,1,7,7,6,3,4,6,15,0
2055,1,8,11,6,5,6,20,28,0
2095,1,0,10,9,5.5,7,3,20,0
2108,1,4,16,7,5.333333333333333,2,8,22,0
2154,5,1,10,15,3.8333333333333335,6,6,14,2
2156,1,0,24,6,5.333333333333333,4,7,21,0
2171,7,5,7,6,4.833333333333333,3,3,14,0
2197,7,3,7,6,4.5,6,6,17,0
2204,7,0,12,6,4.666666666666667,8,12,19,0
2230,7,1,7,6,5,8,6,19,0
2255,1,2,12,12,4.166666666666667,11,12,22,0
2258,1,1,10,12,4.666666666666667,2,9,17,0
2262,1,4,7,16,5,3,3,28,0
2299,5,3,7,13,3.8333333333333335,5,6,14,3
2322,5,3,7,7,5.5,7,6,14,1
2389,7,0,7,6,3,8,14,13,0
2440,1,9,24,23,3.5,8,8,14,0
2502,1,5,17,17,4.333333333333333,4,5,17,0
2520,1,20,19,19,2.3333333333333335,12,3,16,0
2523,7,4,9,6,3.3333333333333335,4,11,17,0
2527,7,1,7,6,1.1666666666666667,2,8,25,0
2532,1,4,8,19,4,10,12,20,0
2637,1,1,7,9,3.1666666666666665,6,16,17,0
2691,7,2,7,6,2.6666666666666665,7,13,21,0
2724,1,10,7,8,3.5,4,6,17,0
2769,3,2,8,10,5,6,7,19,0
2796,1,4,20,9,4.5,9,5,22,0
2867,1,4,24,11,5.5,8,12,24,0
2868,7,2,7,6,3.5,2,5,20,0
2897,1,2,9,13,4.166666666666667,6,6,15,0
2910,1,3,10,10,4.166666666666667,3,4,19,0
2919,7,3,8,7,2.3333333333333335,6,7,12,0
2926,5,2,15,16,3.1666666666666665,2,14,20,3
2954,7,1,13,6,2.1666666666666665,5,9,20,0
