uid,cluster,sex_drive,csbd,ppcs,soi_r_me,social_anxiety,lon,mvs,attraction_to_children
441,2,2,7,15,2.1666666666666665,8,5,17,0
443,2,10,15,23,5.666666666666667,7,6,22,0
446,4,1,7,6,4.833333333333333,2,7,24,0
479,2,4,13,15,4.333333333333333,7,10,20,0
488,6,5,13,21,2.8333333333333335,5,12,21,1
507,4,1,14,6,2,4,10,18,0
519,4,4,12,6,4.333333333333333,7,7,24,0
566,2,3,18,8,3.1666666666666665,10,14,16,0
589,4,4,8,7,5.333333333333333,3,6,23,0
592,2,3,7,15,2.8333333333333335,9,8,24,0
601,2,8,7,6,3.8333333333333335,3,8,16,0
603,4,3,10,6,3.6666666666666665,6,10,17,0
609,2,7,21,27,2.5,6,9,21,0
676,2,5,9,13,4.333333333333333,9,17,17,0
686,4,4,8,7,2.8333333333333335,7,12,26,0
711,4,1,7,6,1.3333333333333333,2,7,20,0
737,4,1,9,6,1.8333333333333333,5,7,20,0
739,2,1,21,19,5.333333333333333,4,9,19,0
759,4,1,13,6,3.5,2,7,21,0
800,6,7,25,19,3.8333333333333335,4,9,20,1
803,2,10,11,21,5.333333333333333,5,16,21,0
811,2,3,17,17,5.5,2,5,14,0
877,2,8,10,17,4.833333333333333,7,7,16,0
919,2,7,9,8,3.6666666666666665,9,9,17,0
1025,6,2,13,14,3.1666666666666665,7,12,17,1
1048,2,0,15,7,1.6666666666666667,7,11,18,0
1068,2,3,13,10,3.6666666666666665,2,10,16,0
1085,2,0,17,8,3.1666666666666665,10,19,11,0
1133,2,7,18,18,5.833333333333333,10,14,18,0
1174,6,7,7,9,3.3333333333333335,11,21,5,1
1236,4,2,9,7,3.6666666666666665,2,8,16,0
1274,4,1,11,6,4.333333333333333,2,9,18,0
1328,2,4,13,6,2.8333333333333335,11,5,9,0
1352,2,7,14,28,1.1666666666666667,10,10,16,0
1361,2,2,16,14,5.333333333333333,2,6,20,0
1404,4,1,7,6,2.6666666666666665,5,3,15,0
1412,1,4,9,13,4.833333333333333,2,7,18,0
1454,2,0,22,6,4,3,13,20,0
1458,2,0,7,12,4.833333333333333,8,8,17,0
1463,4,2,13,6,1.8333333333333333,4,9,18,0
1534,2,4,12,11,3.8333333333333335,5,11,19,0
1546,4,2,8,7,1.3333333333333333,4,9,24,0
1617,4,1,11,6,3.8333333333333335,6,9,16,0
1633,1,1,7,12,3.6666666666666665,5,12,19,0
1636,2,6,18,12,1.8333333333333333,3,12,21,0
1644,2,7,8,12,2.3333333333333335,4,10,18,0
1647,4,3,10,6,3.3333333333333335,8,6,20,0
1691,2,7,9,6,3,9,12,9,0
1792,4,1,7,6,2,2,12,18,0
1865,6,13,30,32,4.5,2,9,20,2
1921,2,16,25,27,6,4,16,18,0
1972,4,1,7,6,4.666666666666667,2,3,23,0
1985,4,3,11,7,3,10,12,19,0
2023,4,0,7,7,4.5,5,14,17,0
2029,4,0,7,7,4.666666666666667,9,14,17,0
2035,4,1,10,6,4,7,13,20,0
2049,4,3,7,6,4,10,9,21,0
2092,2,0,9,12,4.333333333333333,6,13,21,0
2101,4,0,7,6,3.8333333333333335,8,3,24,0
2115,4,4,9,7,4.166666666666667,4,5,16,0
2116,2,2,18,11,5.166666666666667,10,12,20,0
2119,1,4,7,9,5.333333333333333,2,4,18,0
2137,2,2,16,17,3.3333333333333335,3,8,20,0
2154,6,1,10,15,3.8333333333333335,6,6,14,2
2171,4,5,7,6,4.833333333333333,3,3,14,0
2190,4,3,7,7,1.5,5,8,15,0
2193,4,1,10,6,2.5,8,12,16,0
2203,2,2,22,11,5,7,15,24,0
2218,2,3,27,6,5,13,13,15,0
2242,2,2,18,13,3.8333333333333335,11,15,19,0
2247,2,5,13,9,5.5,7,10,16,0
2255,2,2,12,12,4.166666666666667,11,12,22,0
2257,4,1,8,7,5,12,12,17,0
2261,4,1,7,6,4.833333333333333,4,6,24,0
2286,4,0,9,6,3.3333333333333335,2,5,17,0
2289,2,3,15,12,4.666666666666667,2,8,20,0
2301,4,2,7,6,3,10,9,13,0
2317,4,5,7,6,4.166666666666667,3,8,16,0
2340,4,0,7,6,2.6666666666666665,2,4,21,0
2348,2,3,8,10,2.5,9,11,19,0
2368,2,1,13,9,5.333333333333333,7,13,9,0
2371,2,10,33,21,5.166666666666667,4,9,24,0
2412,2,2,7,14,4.333333333333333,10,8,18,0
2419,2,7,7,21,5.333333333333333,2,12,19,0
2429,2,4,15,9,4.833333333333333,8,5,20,0
2445,2,7,14,7,4.833333333333333,5,7,18,0
2458,2,4,14,14,3.8333333333333335,8,6,18,0
2465,2,7,11,20,5.666666666666667,12,13,24,0
2494,6,2,7,16,3.5,6,12,13,1
2510,2,14,21,19,4.333333333333333,3,17,24,0
2556,2,5,31,31,4,13,11,20,0
2637,2,1,7,9,3.1666666666666665,6,16,17,0
2661,2,6,11,18,3,9,16,4,0
2691,4,2,7,6,2.6666666666666665,7,13,21,0
2709,2,4,11,10,2.5,3,6,24,0
2789,4,1,10,6,4.666666666666667,4,6,23,0
2867,2,4,24,11,5.5,8,12,24,0
2897,1,2,9,13,4.166666666666667,6,6,15,0
2903,4,2,7,6,3.3333333333333335,4,9,22,0
2989,1,3,8,9,5,2,4,23,0
3014,2,3,20,17,5.166666666666667,6,13,16,0
3021,2,1,7,8,1.8333333333333333,8,9,17,0
3026,2,1,10,13,3.5,7,11,19,0
3128,2,4,19,26,5.666666666666667,3,6,24,0
3189,2,1,9,12,3.5,8,14,14,0
3200,2,4,8,20,4.166666666666667,8,13,16,0
3243,2,1,14,12,2.8333333333333335,7,6,19,0
3319,2,7,7,10,3,8,21,20,0
3324,2,7,11,24,3.6666666666666665,12,13,12,0
3329,2,3,25,15,3,11,12,11,0
3334,2,7,7,8,2.6666666666666665,5,18,11,0
3363,2,10,14,22,3,8,10,11,0
3375,4,3,12,6,1.6666666666666667,12,13,16,0
3395,4,3,7,7,2.6666666666666665,2,6,24,0
3402,2,2,7,14,3.5,13,9,15,0
3427,2,3,13,11,1.8333333333333333,10,17,12,0
3460,2,3,19,11,3,9,16,14,0
3519,2,7,28,22,3.3333333333333335,11,13,16,0
3564,2,3,20,17,4.5,8,8,19,0
3568,2,7,27,21,1.8333333333333333,8,10,17,0
3635,2,5,21,25,3.3333333333333335,6,10,7,0
3665,2,3,10,17,3.3333333333333335,2,10,19,0
3696,2,7,7,17,5.666666666666667,2,3,25,0
3706,4,0,9,7,3.1666666666666665,6,11,12,0
3763,4,3,10,6,2.6666666666666665,13,16,8,0
3768,2,6,7,14,1.1666666666666667,7,11,15,0
3866,2,4,20,25,3.6666666666666665,5,14,21,0
3878,2,10,26,23,1.3333333333333333,7,11,28,0
3902,2,7,7,11,2.5,5,16,21,0
3913,2,7,9,10,3,4,5,21,0
3917,2,1,20,19,4,10,13,8,0
3994,2,7,9,10,4.333333333333333,4,5,19,0
4032,2,0,7,18,1.5,9,13,12,0
4058,2,6,8,12,2,14,8,27,0
4097,4,2,8,7,1.8333333333333333,7,9,23,0
4099,2,7,8,8,2.1666666666666665,7,8,15,0
4153,2,10,9,11,3.8333333333333335,6,9,15,0
4159,2,4,7,18,4.166666666666667,6,8,18,0
4201,2,7,14,30,2.6666666666666665,8,19,9,0
4205,6,3,17,11,4,2,11,18,3
4208,2,3,7,11,2.8333333333333335,9,9,16,0
4211,2,5,10,8,2.1666666666666665,11,14,12,0
4221,2,10,40,38,1,12,17,20,0
4224,2,0,8,11,1.8333333333333333,12,13,17,0
4230,2,7,28,16,2.3333333333333335,5,14,21,0
4245,2,12,8,8,2.5,9,11,13,0
4373,2,2,25,11,2.8333333333333335,8,9,16,0
4401,2,0,19,6,3.8333333333333335,2,6,20,0
4423,1,3,7,12,4.666666666666667,5,6,20,0
4443,2,6,7,11,2.5,14,13,18,0
4453,2,4,12,14,3.5,3,8,13,0
4458,2,8,15,28,4,8,15,18,0
4501,2,7,12,21,2.3333333333333335,9,8,17,0
4573,6,21,27,27,3,7,8,18,1
4576,2,2,11,11,1.3333333333333333,6,7,15,0
4597,2,0,20,11,5.166666666666667,10,15,15,0
4615,2,8,8,15,2.3333333333333335,10,13,17,0
4620,2,6,12,7,3.5,5,6,17,0
4648,2,5,7,17,3.6666666666666665,6,10,19,0
4686,4,4,7,6,3.3333333333333335,10,17,25,0
4697,2,3,8,9,2.8333333333333335,9,13,20,0
4724,4,1,7,6,3,10,18,15,0
4753,2,2,7,8,2.3333333333333335,11,13,15,0
4766,2,7,7,12,3.6666666666666665,13,10,19,0
4772,2,4,7,28,5,10,13,14,0
4801,4,3,7,6,3,6,8,19,0
4803,2,10,26,24,5.333333333333333,2,4,20,0
4830,2,3,16,6,2.5,12,12,23,0
4913,2,3,9,11,2.6666666666666665,11,13,19,0
4939,2,12,9,11,1.8333333333333333,7,7,17,0
4969,2,7,11,14,3,10,5,16,0
5024,4,0,12,6,1.6666666666666667,7,16,16,0
5041,2,9,7,8,2.6666666666666665,3,8,23,0
5096,2,2,11,9,2.8333333333333335,14,18,10,0
5115,2,7,18,8,3.8333333333333335,10,15,14,0
5117,2,7,18,22,3.5,7,20,21,0
5163,2,2,22,21,4.5,13,17,16,0
5208,2,10,17,20,2.5,12,21,19,0
5209,2,3,23,7,2.5,11,15,9,0
5242,2,10,28,19,1.8333333333333333,3,15,8,0
5258,2,14,12,14,2.8333333333333335,12,11,18,0
5305,2,10,27,22,1.1666666666666667,8,15,19,0
5307,4,0,12,6,2.8333333333333335,13,15,14,0
5323,2,4,7,13,2.3333333333333335,13,16,9,0
5340,2,7,18,23,3,8,11,15,0
5344,2,4,10,25,3.3333333333333335,12,19,11,0
5396,2,7,16,16,2,11,13,15,0
5452,2,7,10,15,1.3333333333333333,14,10,22,0
5498,2,7,13,11,3.8333333333333335,8,16,19,0
5504,2,8,13,22,2.8333333333333335,12,17,11,0
5506,4,1,12,7,3.5,13,19,16,0
5563,6,5,11,14,1.1666666666666667,9,15,11,2
5564,2,6,19,21,4.166666666666667,11,14,19,0
5627,4,2,7,6,2.5,9,11,26,0
5683,2,7,7,15,3,4,8,17,0
5705,2,10,8,8,3.1666666666666665,7,13,17,0
5721,4,3,7,6,2.1666666666666665,2,4,17,0
5734,6,31,49,42,4.5,10,9,4,3
5736,6,10,29,26,3.5,8,12,16,3
5742,2,6,18,15,2,10,16,15,0
5745,2,14,27,21,1.1666666666666667,14,20,27,0
5750,2,10,16,27,3.3333333333333335,8,8,21,0
5780,2,8,11,23,2.6666666666666665,9,8,14,0
5810,2,4,13,18,3.3333333333333335,12,8,15,0
5811,2,7,22,20,4,5,17,17,0
5815,4,4,7,7,1.5,9,8,17,0
5836,2,3,18,12,2.3333333333333335,12,8,18,0
5863,2,3,7,10,1,6,13,18,0
5867,4,4,9,6,2.6666666666666665,10,6,13,0
5886,2,5,13,14,1.5,10,10,13,0
5903,2,1,21,17,4.666666666666667,10,15,24,0
5943,5,4,8,11,2.5,10,7,15,0
5965,2,4,7,24,3,9,16,18,0
5970,4,5,7,6,2.3333333333333335,6,6,13,0
6064,2,7,11,21,1.3333333333333333,12,16,12,0
6106,4,0,10,6,1.5,9,14,13,0
6107,2,5,14,8,2.3333333333333335,2,11,13,0
6124,2,1,8,18,4,8,11,23,0
6149,2,7,17,14,3,2,9,18,0
6166,6,10,8,14,4.333333333333333,10,7,19,3
6169,2,4,25,15,5.166666666666667,2,10,17,0
6183,2,5,9,18,1.3333333333333333,13,18,20,0
6202,2,2,17,19,3.1666666666666665,8,12,20,0
6208,2,7,7,12,3,5,4,18,0
6223,6,0,28,18,1,5,10,23,3
6238,1,2,8,9,4.833333333333333,4,6,18,0
6310,2,7,8,14,3,3,17,19,0
6334,2,8,9,17,2.5,7,21,5,0
6391,6,7,24,27,3,7,14,26,3
6413,4,5,7,6,2.1666666666666665,9,13,19,0
6462,2,4,16,16,1.1666666666666667,11,6,20,0
6542,2,10,8,6,1.8333333333333333,10,10,23,0
6559,2,6,20,28,2.5,10,11,21,0
6570,2,9,24,18,3,11,9,17,0
6584,2,4,17,23,3,9,19,10,0
6620,4,7,7,6,1.1666666666666667,3,9,17,0
6665,2,3,21,12,5,7,8,21,0
6734,2,2,7,12,3.3333333333333335,6,15,20,0
6780,6,3,19,22,3.1666666666666665,8,9,15,1
6790,2,2,7,8,3.3333333333333335,10,9,15,0
6819,4,3,7,7,2,12,17,7,0
6821,2,10,12,13,1,14,11,11,0
6832,2,3,29,25,2.3333333333333335,11,16,17,0
6840,2,9,10,8,3.1666666666666665,4,9,14,0
6846,2,6,9,12,2.3333333333333335,5,14,19,0
6853,2,14,7,6,2,11,15,27,0
6857,2,0,7,18,2.1666666666666665,9,14,15,0
6871,2,5,7,14,1.5,10,16,22,0
6872,2,7,23,23,2.3333333333333335,8,10,28,0
6883,2,10,10,10,1,7,12,12,0
6893,4,1,7,6,3,8,10,16,0
6915,2,10,12,11,2.8333333333333335,11,17,20,0
6932,2,7,22,13,4.833333333333333,13,17,22,0
6940,2,2,16,9,4.833333333333333,13,16,18,0
6965,2,5,14,14,3,2,7,19,0
6991,4,1,8,7,2.3333333333333335,8,10,18,0
7018,2,13,11,20,3.5,10,11,16,0
7031,6,3,27,25,5,2,3,25,3
7036,2,0,16,12,1.6666666666666667,8,11,16,0
7043,2,8,35,22,2.3333333333333335,14,10,7,0
7058,6,21,25,22,4.166666666666667,6,7,16,3
7065,2,12,9,12,2.1666666666666665,12,19,12,0
7066,2,8,12,7,1.8333333333333333,12,18,18,0
7099,2,6,23,19,3.1666666666666665,8,7,22,0
7103,2,20,19,18,4,14,21,15,0
7112,4,0,7,7,2.3333333333333335,12,18,16,0
7133,2,4,14,14,3.6666666666666665,5,11,17,0
7134,2,7,24,26,1,14,19,4,0
7138,2,21,13,19,2.1666666666666665,14,20,16,0
7153,2,7,11,21,4,4,11,12,0
7170,2,3,19,9,3.6666666666666665,3,5,21,0
7171,2,7,16,21,3,5,13,17,0
7236,2,10,28,24,5.166666666666667,2,12,23,0
7242,2,7,12,10,2.5,6,10,19,0
