uid,cluster,sex_drive,csbd,ppcs,soi_r_me,social_anxiety,lon,mvs,attraction_to_children
504,1,4,24,23,3.5,7,13,13,0
506,3,4,14,10,4.166666666666667,4,5,27,0
519,3,4,12,6,4.333333333333333,7,7,24,0
543,2,2,7,6,2.1666666666666665,2,3,20,0
579,3,5,13,11,2.3333333333333335,5,3,19,0
589,3,4,8,7,5.333333333333333,3,6,23,0
603,3,3,10,6,3.6666666666666665,6,10,17,0
604,1,5,21,15,3.8333333333333335,4,12,21,0
606,3,4,10,10,5.333333333333333,3,10,23,0
671,2,2,7,6,3.3333333333333335,3,3,21,0
672,2,0,7,6,1.1666666666666667,3,5,27,0
676,3,5,9,13,4.333333333333333,9,17,17,0
685,1,7,19,22,5,2,8,23,0
711,2,1,7,6,1.3333333333333333,2,7,20,0
757,2,2,7,6,2.6666666666666665,2,9,26,0
764,1,1,16,6,1.1666666666666667,14,3,20,0
785,2,5,7,6,3.8333333333333335,3,9,21,0
797,1,3,18,11,4.166666666666667,9,11,20,0
803,1,10,11,21,5.333333333333333,5,16,21,0
878,1,1,33,19,4.333333333333333,3,12,16,0
918,3,2,12,6,4.666666666666667,3,5,19,0
924,1,2,14,16,4.833333333333333,4,15,24,0
1035,1,2,10,19,2.6666666666666665,6,9,25,0
1069,2,5,7,6,5.333333333333333,5,15,13,0
1082,1,3,15,14,4.666666666666667,4,7,22,0
1085,1,0,17,8,3.1666666666666665,10,19,11,0
1122,2,2,7,7,3.1666666666666665,4,9,21,0
1136,1,7,25,18,4,13,18,14,0
1141,1,9,13,15,2.6666666666666665,6,9,18,0
1159,2,5,7,6,2.5,9,12,12,0
1203,3,3,8,9,4.333333333333333,4,10,23,0
1236,3,2,9,7,3.6666666666666665,2,8,16,0
1239,3,7,11,12,4.333333333333333,5,8,14,0
1250,1,10,7,35,3.8333333333333335,8,18,16,0
1354,1,2,14,18,5.166666666666667,3,11,19,0
1412,3,4,9,13,4.833333333333333,2,7,18,0
1416,3,1,16,9,3.8333333333333335,6,15,22,0
1436,3,2,9,6,4.166666666666667,4,5,28,0
1454,1,0,22,6,4,3,13,20,0
1459,3,0,7,8,2.6666666666666665,4,9,15,0
1468,2,2,7,6,2.1666666666666665,12,14,4,0
1475,1,3,14,27,4.166666666666667,9,15,15,0
1524,2,3,7,6,2.5,5,17,17,0
1595,6,31,16,27,2.6666666666666665,14,21,5,0
1636,1,6,18,12,1.8333333333333333,3,12,21,0
1647,3,3,10,6,3.3333333333333335,8,6,20,0
1865,6,13,30,32,4.5,2,9,20,2
1876,3,2,14,6,4.5,2,5,19,0
1879,1,6,7,16,2.3333333333333335,14,14,4,0
1888,2,1,7,6,5.166666666666667,7,14,16,0
1921,1,16,25,27,6,4,16,18,0
1978,3,3,14,6,5.5,3,11,18,0
2029,2,0,7,7,4.666666666666667,9,14,17,0
2039,2,0,7,6,2.1666666666666665,2,3,16,0
2055,1,8,11,6,5,6,20,28,0
2066,1,7,7,10,2.5,14,20,8,0
2116,1,2,18,11,5.166666666666667,10,12,20,0
2127,3,4,11,9,3.8333333333333335,2,6,21,0
2192,2,0,7,6,2.1666666666666665,8,9,19,0
2200,2,2,7,6,1.3333333333333333,4,6,16,0
2218,1,3,27,6,5,13,13,15,0
2242,1,2,18,13,3.8333333333333335,11,15,19,0
2255,3,2,12,12,4.166666666666667,11,12,22,0
2256,3,7,7,11,4,8,7,15,0
2261,2,1,7,6,4.833333333333333,4,6,24,0
2262,3,4,7,16,5,3,3,28,0
2272,3,3,10,8,5.166666666666667,2,11,13,0
2305,3,3,9,10,4.166666666666667,3,3,22,0
2330,3,3,11,7,5.5,6,11,17,0
2384,3,3,9,6,4,11,12,18,0
2402,2,4,8,6,3.1666666666666665,10,14,20,0
2412,3,2,7,14,4.333333333333333,10,8,18,0
2430,3,1,7,9,3.1666666666666665,2,3,18,0
2449,2,2,7,6,3.6666666666666665,3,3,16,0
2494,6,2,7,16,3.5,6,12,13,1
2525,1,4,20,12,3,8,13,23,0
2532,1,4,8,19,4,10,12,20,0
2537,1,6,17,17,5.5,5,5,17,0
2553,2,2,7,6,3.8333333333333335,7,12,14,0
2556,1,5,31,31,4,13,11,20,0
2574,3,7,9,10,5.833333333333333,3,6,25,0
2580,6,3,25,20,6,3,11,20,3
2636,3,4,15,8,5,2,5,19,0
2658,3,1,11,13,5.333333333333333,6,8,19,0
2685,3,2,12,8,2.1666666666666665,2,4,13,0
2732,1,2,9,19,5.5,4,6,21,0
2775,3,3,8,16,2.5,9,8,12,0
2868,2,2,7,6,3.5,2,5,20,0
2952,3,2,12,6,2.8333333333333335,6,6,20,0
3026,3,1,10,13,3.5,7,11,19,0
3030,3,1,9,6,3.6666666666666665,11,11,16,0
3036,2,1,7,6,2.6666666666666665,9,13,16,0
3112,2,3,7,7,2.5,3,13,21,0
3114,3,5,12,10,1.6666666666666667,2,4,17,0
3128,1,4,19,26,5.666666666666667,3,6,24,0
3129,1,7,27,10,4.5,9,8,24,0
3152,1,2,10,20,4.333333333333333,8,16,22,0
3192,3,1,7,10,5.166666666666667,4,7,20,0
3239,3,2,9,11,5.333333333333333,4,11,23,0
3317,2,1,7,6,1.3333333333333333,11,18,15,0
3318,1,1,9,21,3.3333333333333335,2,9,20,0
3334,1,7,7,8,2.6666666666666665,5,18,11,0
3337,1,10,8,19,3.3333333333333335,11,7,17,0
3369,2,7,7,7,5.333333333333333,2,7,21,0
3374,2,7,7,7,2.3333333333333335,5,11,15,0
3375,3,3,12,6,1.6666666666666667,12,13,16,0
3377,1,10,19,21,4.166666666666667,8,12,18,0
3385,1,8,29,35,3.3333333333333335,12,17,14,0
3395,2,3,7,7,2.6666666666666665,2,6,24,0
3424,3,6,8,13,3.6666666666666665,7,10,20,0
3501,1,15,20,22,4,10,16,5,0
3519,1,7,28,22,3.3333333333333335,11,13,16,0
3541,1,2,35,30,1,14,21,4,0
3558,1,5,16,14,4.666666666666667,12,16,14,0
3564,1,3,20,17,4.5,8,8,19,0
3616,1,9,8,11,2.1666666666666665,11,9,17,0
3623,1,3,46,38,3.6666666666666665,14,21,13,0
3635,1,5,21,25,3.3333333333333335,6,10,7,0
3641,1,14,11,15,3,12,9,20,0
3643,1,5,10,22,2.1666666666666665,12,17,17,0
3649,1,7,19,27,1.6666666666666667,9,21,25,0
3687,2,3,7,6,3.5,4,7,16,0
3716,1,5,14,18,3,9,17,6,0
3768,3,6,7,14,1.1666666666666667,7,11,15,0
3781,3,3,7,10,2.3333333333333335,9,7,17,0
3847,3,3,7,13,3,6,9,18,0
3899,1,7,19,10,2.8333333333333335,3,8,18,0
3917,1,1,20,19,4,10,13,8,0
3952,2,0,7,6,1.6666666666666667,8,15,20,0
3976,1,3,21,9,2.1666666666666665,3,16,15,0
3979,3,0,11,8,1,11,11,19,0
